#Firework Name, Description, Duration, Lift Time, Number of Shots, Year, Cost, Firework Part Number, Brand, Category, Video (Youtube) Link, Image Link, Video Start Time (s)
bombe 50 mm chrysanthème bleu, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550002000, JPA, Other, https://www.youtube.com/embed/EBfvtd1tBM4, , 0
bombe 50 mm chrysanthème citron, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550005000, JPA, Other, https://www.youtube.com/embed/Ai5Gcu7MxQs?rel=0, , 0
bombe 50 mm chrysanthème multicolore, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550007000, JPA, Other, https://www.youtube.com/embed/PHudQYYDoN0?rel=0, , 0
bombe 50 mm chrysanthème rose, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550008000, JPA, Other, https://www.youtube.com/embed/RGEYLKTCXRc?rel=0, , 0
bombe 50 mm chrysanthème violette, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550009000, JPA, Other, https://www.youtube.com/embed/BPrDZWuCSG4?rel=0, , 0
bombe 50 mm chrysanthème rouge, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550010000, JPA, Other, https://www.youtube.com/embed/kGuGolLIipY?rel=0, , 0
bombe 50 mm chrysanthème blanche, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550012000, JPA, Other, https://www.youtube.com/embed/fuzmqY15Btw?rel=0, , 0
5 bombes 50 mm chrysanthème assorties, Cat: f4 / Cal: 50 / Cert: 1646-f4-201-071-37 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 12.61, 550083000, JPA, Other, , , 0
bombe 50 mm crackling kamuro, Cat: f4 / Cal: 50 / Cert: 2806-f4-001385 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550084000, JPA, Other, https://www.youtube.com/embed/kyrhXGlPooQ?rel=0, , 0
bombe 50 mm crackling argent, Cat: f4 / Cal: 50 / Cert: 2806-f4-001385 / Dist: 50 / Div: 1.3G / Disc: false, 2, 0, 1, 2022, 2.5, 550085000, JPA, Other, https://www.youtube.com/embed/qmDPdQvx0eQ?rel=0, , 0